Zweck,Verrechenbarkeit
AP_AUFTAKTPHASE (Pauschalabrechnung),Intern
AUDITPHASE [+],Extern
AUFTAKTPHASE [+],Intern
Akquise,Intern
Akquise ohne Angebot,Intern
Anmeldung bei der DGNB… [+],Extern
Audit [+],Extern
Auftaktphase [+],Intern
Ausführungsphase,Extern
Ausführungsphase [+],Extern
Ausführungsphase [+},Extern
BEGLEITUNG (Stunden) [+],Extern
Bauprodukte,Extern
Bauprodukte  [+],Extern
Bauprodukte 2,Extern
Bauprodukte [+],Extern
Bauökologie,Extern
Bauökologische Begleitung [+],Extern
Begleitende Unterstützung (Stundenabrechnung) [+],Intern
Begleitung [+],Extern
Besprechungen,Intern
Broschüre & Homepage,Intern
CHECK [+],Intern
Check) [+],Intern
Check… [+],Intern
DGNB Bestand,Extern
DGNB Neubau,Extern
"Deka_ Silberburg Carré, Stuttgart (BREEAM)",Extern
Dokumentation in der Bauausführung [+],Extern
Dokumentationsphase und Projekteinreichung,Extern
ESG,Extern
Einreichung bei der DGNB… [+],Extern
Einreichungsphase [+],Extern
Erstellung eines Klimaschutzfahrplans [+],Extern
"FSD_Niederlassung FEGA & Schmitt, Dresden",Intern
GIB ADL,Intern
Gesamtphase,Intern
Gesamtphase [+],Intern
KI,Intern
KRA_Klimarisikoanalyse [+],Extern
Klimarisikoanalyse [+],Extern
"Klären, Sammeln...weiterer erforderlicher Daten… [+]",Intern
Koordination I (Stundenabr.) [+],Intern
LCA,Extern
Lebenszykluskostenrechnung [+],Extern
Mieterausbauverpflichtung [+],Extern
NaWoh,Extern
Nürnberg,Extern
Off… [+],Extern
Personal,Intern
Planung & Vorzertifizierung [+],Extern
Planungsphase & Vorzertifizierung [+],Extern
Planungsphase [+],Extern
Planungsphase und Vorzertifizierung [+],Extern
QNG,Extern
REELAB_Nachhaltigkeitsberatung REELAB GmbH,Extern
"RLM_Neubau 4_Steinzeugstr. 64, 68229 Mannheim",Extern
Raumluft,Extern
Raumluftmessung [+],Extern
Raumtypenermittlung [+],Extern
Sonderleistungen (Stunden) [+],Intern
UNGLEHRT_Nachhaltigkeitsberatung UNGLEHRT GmbH,Extern
Verwaltung,Intern
Vorlesungen,Intern
Workshop II für Aurelis GmbH,Extern
ZP_ZWISCHENPHASE (Aufwandsabrechnung) [+],Intern
"Zertifizierung_Glücksteinallee 43+45, Mannheim",Extern
Zirkularität,Extern
Zwischenabschluss [+],Intern
und Recylinganalyse [+],Extern
Ökobilanz (Pauschalbetrag) [+],Extern
Ökobilanz [+],Extern
